id,text,date,likes_count,comments_count,reposts_count,views_count,url_photos
223669,"СК «Ротор» 🤝 МОУ Детский сад №183 
 
Вчера специалист по работе с болельщиками Олег Чалченко и Никита Чагров приехали с дружеским визитом в [club217467893|детский сад №183]
 
Дети подготовили для гостей зажигательный танец, поиграли с Никитой в футбол, а потом наш вратарь провел для ребят небольшой мастер-класс 
 
Встреча закончилась спортивным танцем и обнимашками 
 
#ЗаРотор",2024-05-17 11:30:00,70,2,3,3434,"['https://sun150-1.userapi.com/impg/1XT_NykUYL8bKAy1P2mdwyS8XIG0_74-E78V_g/mTxkoY9UlZY.jpg?size=1280x853&quality=96&sign=2e378ae8cab0e2fbb9833716016e39bc&c_uniq_tag=JlkPSdMlfqoDWkABV52vgauMQ8bx4QuZm6NAskwSgws&type=album', 'https://sun150-1.userapi.com/impg/NH6c42hQKTKHrCH701CU8d_614WOiMmJ-4xaVg/bYJ2zXBkX7Y.jpg?size=1280x853&quality=96&sign=5b9fe26ed439e5106a87658e97eac416&c_uniq_tag=5-sna3DaYBXyTOSqsXKwHzDLRoPWGqEfykhZYBMDTtg&type=album', 'https://sun150-1.userapi.com/impg/xSfL4E1__0obaY5AXBi6Tke1SR2D7qTSrD3cJw/vjZERpqkRME.jpg?size=1280x853&quality=96&sign=6db26f38cc25af85f59aaf899ad8f19c&c_uniq_tag=5NfyrtmCjMZS7HDKbNMvElLlFQocPh_cj3dPSkJwvOE&type=album', 'https://sun150-1.userapi.com/impg/InPVTdLKRE-bHiueaqmG6xJmLeQmbapYLA7rQw/yrTxIZOfdKg.jpg?size=1280x853&quality=96&sign=e25a87ec1e74292c7eb3db454af866bf&c_uniq_tag=rM_jEOot1O-Rg9bj9qDli8nkK59aA2Nhan-xe2WUtLU&type=album', 'https://sun150-2.userapi.com/impg/tTjfhj7_IW38RO72_JJyf0_BDcus2EItsmkWQA/dSjodOtcVGo.jpg?size=1280x853&quality=96&sign=ae5a5c121cf26298fdc9571493440a8b&c_uniq_tag=4xgYs2dUnTFOyaGOWF38qqHybgIqvEXBU68beRoRwAI&type=album', 'https://sun150-2.userapi.com/impg/ItoOxVMi93P0MCoDhftjrq65jESjNaOUfysy6Q/TcrDw6dNIg4.jpg?size=1280x853&quality=96&sign=a4a183217b2d7f019aa6ca6be4a8c71a&c_uniq_tag=O5R2IbifOukZxBLtxkAVNvdr9aqWVWxp-uG2-9vIeAg&type=album']"
223668,"👮‍♂ Матч «Родина-2» - «Ротор» рассудит Герман Коваленко 
 
Назначены судьи, инспекторы и делегаты на матчи 15-го тура LEON-Второй лиги А сезона 2023/24. 
 
Главный арбитр - Герман Коваленко (Казань), 
Ассистенты арбитра - Роман Федулеев (Пенза), Камиль Биглов (Уфа), 
Резервный судья - Александр Ануфриев (Москва), 
Инспектор - Дмитрий Березнев (Ростов-на-Дону) 
Делегат - Петр Петухов (Москва)",2024-05-17 10:30:00,46,0,1,3148,['https://sun150-2.userapi.com/impg/s3FNnJKb8YoatQQ9pENJQq0EmQrY-p14XVRegA/Lq8n9bIU3d0.jpg?size=800x640&quality=96&sign=6346f39b9c776f562172a0ddcc5b5789&c_uniq_tag=7CCutzaxcGNWSKQ8XpcmmnJNgmyH_VdnlTgA85_1WjY&type=album']
223667,"Ловите второй фотоотчёт игрового дня #РоторКраснодар2 📸

#ЗаРотор",2024-05-17 09:30:02,109,0,2,5415,"['https://sun150-2.userapi.com/impg/9p22kvz6bE1kVpNGDvt-RoykVCWa4hAKhryx0g/2FEBs8Y26As.jpg?size=510x340&quality=95&sign=7ddbc4e21bc902c51edb7e84268411df&c_uniq_tag=9OT9UZ2zK4_nen-dO00YJoVudHcTGP5ogZmsP061obA&type=album', 'https://sun9-78.userapi.com/impg/yDfk4cT08yZ4gQNo1sNWdmGjY0HrU3SuHN2feQ/tJ_ApXOjs5c.jpg?size=510x340&quality=95&crop=3,0,2554,1703&sign=fce4c56a55570b001703aa3a2c311721&c_uniq_tag=fMJaHLyBzrt7AYNad7FD6g_6pixDS-3vVdfCAP7pmlE&type=album', 'https://sun150-1.userapi.com/impg/ndPvAb-Sj5N2FsexwyNMqKXLI4WjTZLMn2YAwg/IrC1usC9GDA.jpg?size=510x340&quality=95&crop=3,0,2554,1703&sign=2e8847dfae695fbde1fb73f0c749ed24&c_uniq_tag=8btOL9lYj2CNktucs-jCMaJgcqhtRAHl6Q5oKaRHgCQ&type=album', 'https://sun150-1.userapi.com/impg/PgsVj7Z_-ORwCDTQg8mVTXbhK9ZojKEDwkaZ-Q/aPDA1QB5VmY.jpg?size=510x340&quality=95&sign=8b18e3bcb10772a2ac42ea5e909bc541&c_uniq_tag=Uq6h0XQE1jQNT8V22qDJZ6637gdlN3d3XwIwbJHbEY4&type=album', 'https://sun150-2.userapi.com/impg/MW6Lk8tQDAYFrOJVrlJ_hQxeCz0PfByxSN_22A/aVQRO3IMuOw.jpg?size=510x340&quality=95&crop=3,0,2553,1702&sign=c11c9f5a2ca899798da6b8a9d6204cb1&c_uniq_tag=Be1Fsi333zSR-PBLbPjguJbEgjSja6oEcOpZ5uNx1as&type=album']"
223657,Провели восстановительную тренировку на «Зените» 💪,2024-05-16 17:00:03,97,2,2,4574,"['https://sun150-2.userapi.com/impg/piB1tYtAOUGULs3l-aIxb3trzxbXqGre7RjBMQ/amuwgVELSfw.jpg?size=510x408&quality=95&sign=29620dbbdc0609e30661bf428cb847e6&c_uniq_tag=ipY2MgxeMOvawif39_CkDvwy2wycS6hGoMTCa0DprJ8&type=album', 'https://sun9-78.userapi.com/impg/fgIDBkCgz0h5uKV6rIFNQND7KLus9YgG_YGi-A/arrO-_6sYxY.jpg?size=510x408&quality=95&sign=b107a9e20fce8384032d5890b6aa1479&c_uniq_tag=D2YZFT7Q6pKlcCfXd-XEFN5R-RO1eaJW8IxfidANI98&type=album', 'https://sun9-76.userapi.com/impg/HqNYHd95MXLfbMvnqnJGWoJTdxUR-3O0FkizpA/Xs0JPgzFYek.jpg?size=510x408&quality=95&sign=7c33273a6687e7abaa20dc7316529dd7&c_uniq_tag=x8RkbMq9lOuX8NNa4en0jS2mDb9sKqysEtr_RstBwf8&type=album', 'https://sun150-2.userapi.com/impg/IwHwldWUobfxK0W_0Q9j1JFVS4KXGzXOwc5CRg/qIbEolcS6Lw.jpg?size=510x408&quality=95&sign=028c2bbc30a5b7d6b7a65ea0a9e5d94a&c_uniq_tag=TENOXJCBFivLolF2Ef0Csr46kuhi6AbXPWE9ByYw8SY&type=album', 'https://sun9-37.userapi.com/impg/Dnx4DQWF6SmxyYthBePVCBaPuSlRrYPg6PY59A/hw_QOGk6Bxk.jpg?size=510x408&quality=95&sign=4a145be1b638ac3b44929d107060986c&c_uniq_tag=TNG-WcZLN9pGhWz96TyUd7xZKQI3sLCiQkE77kwdr4E&type=album', 'https://sun150-1.userapi.com/impg/0oUjXfqtZwR9ONdOUNu-n_lpnZGMqzoNHyaPrA/amsK_bJzm6U.jpg?size=510x408&quality=95&sign=d7b2fa17ef838e9e4b2b58203f8a3a0b&c_uniq_tag=w1OcJxRX-C2AFJOgQodrZWN485aQQ7RlASIhXivDuwg&type=album', 'https://sun9-41.userapi.com/impg/uSKqeDlofvHPCf8hDV7HG3ImJ61e1HO3FEU1LA/tYEW62lbdus.jpg?size=510x408&quality=95&sign=9c67f630f0afe3d81ddc5000fa3c5fe7&c_uniq_tag=L0zBwlnG_14T49TXvxSVgcReRZESxnSeFVXZxJ8r2HU&type=album', 'https://sun9-37.userapi.com/impg/V8fq1V_dQBo0EovKpJQszrAHlLNXA5DoIRWK9Q/Md4EV2LkkcE.jpg?size=510x408&quality=95&sign=116a8e95b19c5e85652bc799626045ff&c_uniq_tag=Aw9FCQ3VVhqjyNj7US2tNQ4mBtDeDSIKqt_4F6bDFQc&type=album']"
223655,Борьба до последней секунды и боевая ничья: все это вне поля зрения матча «Ротор» - «Краснодар-2» 📹,2024-05-16 16:40:00,49,0,2,2565,[]
223648,"Прямое включение Юры Завезёна с восстановительной тренировки 😉

Матч в Москве уже в это воскресенье ⚔️",2024-05-16 14:50:14,93,3,3,3567,[]
223645,"Уже в это воскресенье сыграем на выезде против «Родины-2» ⚔️ 

Рассказываем, как можно поддержать сине-голубых👇🏻

Игра пройдёт на стадионе «Спартаковец» (Москва, ул. 3-я Гражданская, 47) 19 мая и начнётся в 15:00 🏟

🔹Проход на стадион с 14:00
🔹Сектор активных болельщиков СК «Ротор» — В2
🔹Билеты можно приобрести по ссылке: vk.cc/cwMAeH
🔹Цена билета — 100 рублей
🔹Досмотр баннеров не позднее 45 минут до начала матча перед сектором

Если у вас возникнут вопросы, обращайтесь по телефону +7 (961) 064-25-84, специалист по работе с болельщиками Олег Чалченко

#Ротор #ЗаРотор #РубисьЗаРотор",2024-05-16 13:00:03,80,1,11,3120,['https://sun150-2.userapi.com/impg/EzTDHciSTgmWTf-LFGougfmX6kMJQyTiErcMdQ/V2b-9ripsaQ.jpg?size=510x637&quality=95&sign=dc04669c6e5cee30743fb87b2edf88c9&c_uniq_tag=YuJza53C1qy0EXGwFliHWJiN-4DjJzlDL67lC3mcD_E&type=album']
223643,"Полный фотоотчёт матча #РоторКраснодар2 📸
 
#ЗаРотор",2024-05-16 12:30:00,61,0,0,2707,"['https://sun150-1.userapi.com/impg/rIadC8PNuHG6XeTPuGJHRuWKRoWgDYy1c0K7mw/6cxy5oHJDAI.jpg?size=510x764&quality=95&sign=9c9778912928a8ad8f340c701ad5db1c&c_uniq_tag=E04zD_fOQcxge-CdRDKJwNgm0Hc9bRVO9Fb_HA8NaeA&type=album', 'https://sun9-76.userapi.com/impg/AB-7uS0fa9Zowm4X4Nr8VpX3_-GRRkoGmQECrQ/503wFuk4ya0.jpg?size=510x764&quality=95&sign=c072de945c2bdcbf7af0d0193cf66ae1&c_uniq_tag=2gSg-oNDRxICqIk2IFFgySVUfv4Ys-dc5bfTWN4KZbM&type=album', 'https://sun150-1.userapi.com/impg/C9WQs_8MJ2ce97E93YXIg2OrDccU-IcWMp1SeA/n-RAUVTjS0E.jpg?size=510x764&quality=95&sign=e347506a414e085b2f11f2e54df3112e&c_uniq_tag=YyVCqREACaRbKRxJp6EclAvfmd3_B48iv5Frm9IIE10&type=album', 'https://sun9-19.userapi.com/impg/b27YhRpjpBM_iuyIgS-XV8hbMadIEaCi0pTIlw/ULgUMtmueuU.jpg?size=510x764&quality=95&sign=e8e2d7fd77193ea8dbfb701bc711d930&c_uniq_tag=ORrFZPxBIYMTPvT8HXFgBPEDkz0rcfxgt84k62bt4e8&type=album', 'https://sun150-2.userapi.com/impg/z2kbdm6BlODBrhiMooqdkBup6DaDa1lLD13EsQ/Ycf_vsznZso.jpg?size=510x764&quality=95&sign=ee7acca8f3033ddb6d9896be37b881e2&c_uniq_tag=MSVCcvPWFBlvqLcOhQkMxUiCm7PKoKnM20RScnrTTr8&type=album', 'https://sun9-70.userapi.com/impg/RmttTS-njZgVbNeV92mfi5dj6RWiCtrpua63yw/n0lCIegrTNQ.jpg?size=510x764&quality=95&sign=bbc386069dbe64d288182f143d2eb57f&c_uniq_tag=GizUAvpqB6ZJD79c726t923lArVkbjOtTyhHGY9JIVU&type=album']"
223639,"Экскурсия по стадиону перед матчем #РоторКраснодар2 
 
Победители лототрона от нашего партнеров Legalbet за несколько часов до вчерашнего матча прошли по подтрибунному помещению «Волгоград Арены», посмотрели микст-зону, вышли к футбольному полю и, конечно, зашли в раздевалку команды 
 
#ЗаРотор",2024-05-16 12:00:03,58,0,1,3361,"['https://sun9-16.userapi.com/impg/A4QluA8Ila0QP98piEQlOfjdy6wMZzQ_COi2yg/6kVoR7qlqmA.jpg?size=510x340&quality=95&sign=e8302c85de1aa71cfc6de28a4a803969&c_uniq_tag=vbjcYAaWAHRxAVDjI6CjT8FfqH3YLc-88NcQ0el5VKM&type=album', 'https://sun150-1.userapi.com/impg/735YltXtPpAqkOn9K26nO7-5JApL-4K1PlDWgw/eLupkpCvDwc.jpg?size=510x340&quality=95&sign=e8bcb903fddb30bb9752d698783b04bc&c_uniq_tag=bOMn_gfnfZN_1Yb_klBPo1kY4hayXFSZXRpeBsSfLqs&type=album', 'https://sun9-73.userapi.com/impg/C_39g_SVGSi29rhtPQAKWMHu5d_-MMNnjqCadg/FTkDe88TPBE.jpg?size=510x340&quality=95&sign=3daebe14eb43bb3e0ba3b1e884d98426&c_uniq_tag=CEn-n_8GYIQab8jMZz-dR0tixXGA_02Tw0Xg3MdlbC8&type=album', 'https://sun9-22.userapi.com/impg/xSNZ4iuFGE4eoPJMcLbMQ_vMM3zcDbBjwKFjaw/V56ZroWX1dM.jpg?size=510x340&quality=95&sign=941443414300a3e574b59db27337ea92&c_uniq_tag=MdC1SvuoByVMf0uC-9rjGWI9lxaIcU_T14FzQYY_d1E&type=album', 'https://sun150-1.userapi.com/impg/98WuLBKEWZQ3_c8sd3JKWoNjAaQ6iIt0jVvX0Q/5psTkE6Ev8k.jpg?size=510x340&quality=95&sign=fdec7123e2f64521c10df0951c7ac491&c_uniq_tag=vXiXRGmbpvAn9HKuzsLdHm3fo05VRinsK4K2Rt5N4Bo&type=album']"
223633,"В перерыве матча #РоторКраснодар2 прошло награждение юных футболистов СШ «Ротор» 🏆 
 
Розыгрыш Кубка РФС среди юношеских команд клубов ФНЛ 2010 года рождения состоялся в Воронеже в начале мая ⚽️ 
 
Участие в турнире приняли воспитанники Спортивной школы «Ротор». Воспитанники тренеров-преподавателей Дмитрия Синкевича и Дайниса Фролова показали на турнире отличный результат и заняли третье место 🥉 
 
Поздравляем команду с бронзовыми медалями Кубка РФС! 
 
#РубисьЗаРотор",2024-05-16 11:00:03,186,5,0,6209,"['https://sun150-2.userapi.com/impg/q_95Q1k56ne5MFjRl7poMRcqMajEiZFVUNmOSA/1LSNg7uckIk.jpg?size=510x340&quality=95&crop=3,0,2554,1703&sign=b81a166ff8b2ca6f72201838b9b15532&c_uniq_tag=dftldfSnbGD931huaZS82-L9PdBuFPyFHLg6pTf6F4A&type=album', 'https://sun9-51.userapi.com/impg/93WqV8GentqmDwNxqo2n83j1iSPpzX0Rzjhi9w/TRphn8Rx6Ro.jpg?size=510x340&quality=95&crop=3,0,2554,1703&sign=f9f8762b1a74a154e270139fb4e3d8ff&c_uniq_tag=u7VwjcK2GSmAHslsRQbtcNCYZGb9irEnhkhkVy9cUXs&type=album', 'https://sun150-2.userapi.com/impg/qGsTnLgs7amAj6vXQlPX-WZH3-IC09eNQUKbGw/0giVlMqfhWc.jpg?size=510x340&quality=95&crop=3,0,2554,1703&sign=e91c795315982419c24a2d3f0cdf0d06&c_uniq_tag=xgDSx2nIzGHCTHlL6CLX4T2Qkanii20z83zgynhrkfc&type=album']"
